"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 21 20:40:09 CEST 2024","Wed Aug 21 20:40:09 CEST 2024","498","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:22 CEST 2024","Wed Aug 21 20:40:23 CEST 2024","503","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:41 CEST 2024","Wed Aug 21 20:40:41 CEST 2024","493","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:32 CEST 2024","Wed Aug 21 20:40:32 CEST 2024","491","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:45 CEST 2024","Wed Aug 21 20:40:52 CEST 2024","6896","tests","test_order_scooter","TestOrderScooter","","","Создание заказа через кнопку ""Заказать"" на странице лендинга","Данный сценарий содержит процесс заполнения формы, создания заказа, и проверки редиректов по логотипам."
"passed","Wed Aug 21 20:40:13 CEST 2024","Wed Aug 21 20:40:14 CEST 2024","498","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:36 CEST 2024","Wed Aug 21 20:40:37 CEST 2024","500","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:27 CEST 2024","Wed Aug 21 20:40:27 CEST 2024","493","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
"passed","Wed Aug 21 20:40:56 CEST 2024","Wed Aug 21 20:41:03 CEST 2024","6667","tests","test_order_scooter","TestOrderScooter","","","Создание заказа через кнопку ""Заказать"" в заголовке лендинга","Заполняем форму, создаем заказ, проверяем редиректы. Точка входа: кнопка ""Заказать"" в заголовке лендинга."
"passed","Wed Aug 21 20:40:18 CEST 2024","Wed Aug 21 20:40:18 CEST 2024","491","tests","test_main_page","TestMainPage","","","Раскрытие вопросов в разделе ""Вопросы о важном""","В разделе ""Вопросы о важном"" есть список вопросов с ответами, проверяем содержание текста в ответах и функционал раскрытия вопросов"
